time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-20T07:15:37.350Z,36.6933,-116.3138,12.6,1,ml,18,79.03,0.038,,nn,nn00574782,2017-01-20T07:17:25.613Z,"46km ESE of Beatty, Nevada",earthquake,,,,,automatic,nn,nn
2017-01-20T07:10:06.141Z,63.0738,-150.9455,128,1.8,ml,,,,0.37,ak,ak15109292,2017-01-20T07:21:58.536Z,"93km NNW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-01-20T06:25:31.580Z,38.802166,-122.7696686,-0.16,1.68,md,20,64,0.01403,0.05,nc,nc72754205,2017-01-20T06:40:02.487Z,"2km NNW of The Geysers, California",earthquake,0.17,0.58,0.17,8,automatic,nc,nc
2017-01-20T06:21:07.540Z,32.8555,-116.211,4.28,1.77,ml,44,65,0.115,0.24,ci,ci37571671,2017-01-20T06:31:44.690Z,"24km WNW of Ocotillo, CA",earthquake,0.32,1.31,0.145,26,automatic,ci,ci
2017-01-20T06:18:33.960Z,32.8553333,-116.2038333,7.48,1.47,ml,36,68,0.1099,0.23,ci,ci37571663,2017-01-20T06:29:39.960Z,"24km NW of Ocotillo, CA",earthquake,0.35,1.79,0.168,28,automatic,ci,ci
2017-01-20T06:06:37.035Z,62.9469,-150.5159,89,1.8,ml,,,,0.32,ak,ak15108660,2017-01-20T06:18:05.530Z,"72km NNW of Talkeetna, Alaska",earthquake,,1.1,,,automatic,ak,ak
2017-01-20T05:58:06.906Z,63.4072,-151.5301,0,1.4,ml,,,,0.86,ak,ak15108659,2017-01-20T06:11:49.237Z,"128km W of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-20T05:45:29.900Z,32.8493333,-116.2058333,7.24,1.06,ml,20,84,0.108,0.25,ci,ci37571519,2017-01-20T05:49:03.255Z,"24km WNW of Ocotillo, CA",earthquake,0.49,1.4,0.123,14,automatic,ci,ci
2017-01-20T05:38:19.180Z,19.2040005,-155.4589996,37.5,1.87,md,46,109,0.04842,0.14,hv,hv61570331,2017-01-20T05:41:45.970Z,"2km E of Pahala, Hawaii",earthquake,0.52,0.84,0.04,10,automatic,hv,hv
2017-01-20T05:34:00.545Z,61.2502,-153.5207,21.6,1.7,ml,,,,0.65,ak,ak15108657,2017-01-20T05:44:42.415Z,"95km NNW of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-01-20T05:07:18.000Z,18.274,-64.745,33,3.1,Md,3,342,0.5111414,0.07,pr,pr17020000,2017-01-20T07:07:07.354Z,"20km SW of Road Town, British Virgin Islands",earthquake,1.9,2.9,0,3,reviewed,pr,pr
2017-01-20T04:59:03.400Z,19.2143326,-155.4589996,38.08,2.34,md,52,106,0.05074,0.14,hv,hv61570261,2017-01-20T05:02:20.890Z,"2km ENE of Pahala, Hawaii",earthquake,0.55,0.67,0.18,31,automatic,hv,hv
2017-01-20T04:33:35.980Z,34.586,-116.2738333,6.36,1.52,ml,14,83,0.1398,0.14,ci,ci37571511,2017-01-20T04:37:07.938Z,"18km SW of Ludlow, CA",earthquake,0.33,1.37,0.167,28,automatic,ci,ci
2017-01-20T04:15:17.411Z,61.5244,-140.9132,2.3,1.6,ml,,,,0.35,ak,ak15108651,2017-01-20T04:22:09.554Z,"182km NNE of Cape Yakataga, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-20T04:11:57.525Z,58.421,-153.2936,56.9,1.9,ml,,,,0.53,ak,ak15108648,2017-01-20T04:22:09.322Z,"83km NNW of Kodiak Station, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-01-20T03:50:42.410Z,34.0188333,-116.7823333,18.76,1.11,ml,24,75,0.1133,0.24,ci,ci37571495,2017-01-20T03:54:23.459Z,"11km N of Cabazon, CA",earthquake,0.45,1.07,0.168,25,automatic,ci,ci
2017-01-20T03:47:42.420Z,26.6493,66.2529,10,4.5,mb,,222,8.224,0.68,us,us10007u9i,2017-01-20T04:14:26.040Z,"47km N of Bela, Pakistan",earthquake,11.1,2,0.125,19,reviewed,us,us
2017-01-20T03:43:59.190Z,38.7888336,-122.7348328,1.35,1.07,md,8,90,0.005781,0.01,nc,nc72754180,2017-01-20T03:59:02.123Z,"2km NE of The Geysers, California",earthquake,0.44,0.74,0.17,3,automatic,nc,nc
2017-01-20T03:43:58.750Z,8.8849,126.7338,54.02,4.9,mb,,89,2.135,0.86,us,us10007u9g,2017-01-20T04:02:57.040Z,"47km E of Aras-asan, Philippines",earthquake,9.9,6.6,0.069,68,reviewed,us,us
2017-01-20T03:32:53.050Z,-36.4183,-97.1334,10,4.9,mb,,179,15.25,0.87,us,us10007u9d,2017-01-20T03:52:17.040Z,West Chile Rise,earthquake,13.7,1.9,0.043,169,reviewed,us,us
2017-01-20T03:27:36.590Z,37.4176674,-121.8148346,-0.55,1.95,md,13,111,0.03488,0.1,nc,nc72754175,2017-01-20T03:43:02.098Z,"4km N of East Foothills, California",earthquake,0.48,0.91,0.2,11,automatic,nc,nc
2017-01-20T03:26:17.939Z,61.316,-153.9243,0,1.8,ml,,,,0.63,ak,ak15108023,2017-01-20T03:36:43.740Z,"112km NW of Redoubt Volcano, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-20T03:16:43.800Z,36.0048333,-117.5631667,1.25,1.39,ml,18,106,0.08017,0.17,ci,ci37571479,2017-01-20T03:20:24.043Z,"30km NNW of Searles Valley, CA",earthquake,0.38,0.53,0.146,19,automatic,ci,ci
2017-01-20T03:08:07.937Z,60.0824,-151.5862,50.4,1.5,ml,,,,0.48,ak,ak15108020,2017-01-20T03:19:44.113Z,"35km SSW of Cohoe, Alaska",earthquake,,1.5,,,automatic,ak,ak
2017-01-20T03:02:16.892Z,60.7307,-150.2428,33.6,1.8,ml,,,,0.56,ak,ak15108017,2017-01-20T03:13:23.221Z,"35km NE of Sterling, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-01-20T02:47:49.729Z,59.4894,-151.9555,19.9,1.5,ml,,,,0.64,ak,ak15108010,2017-01-20T03:06:36.175Z,"28km SW of Homer, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-20T02:44:20.096Z,37.2406,-114.4917,11.2,1.6,ml,13,113.49,0.475,0.2085,nn,nn00574771,2017-01-20T03:24:30.753Z,"41km S of Caliente, Nevada",earthquake,,2,0.24,7,reviewed,nn,nn
2017-01-20T02:20:05.210Z,-10.4112,161.3154,35.67,4.7,mb,,104,1.658,0.58,us,us10007u91,2017-01-20T02:40:38.040Z,"66km W of Kirakira, Solomon Islands",earthquake,12.3,7.1,0.11,29,reviewed,us,us
2017-01-20T02:10:20.650Z,38.7960014,-122.7580032,2.27,1.12,md,12,136,0.02095,0.03,nc,nc72754160,2017-01-20T02:26:02.958Z,"2km N of The Geysers, California",earthquake,0.45,0.69,0.11,5,automatic,nc,nc
2017-01-20T02:07:59.409Z,61.9979,-150.8711,10.6,1.6,ml,,,,0.36,ak,ak15107393,2017-01-20T02:16:47.680Z,"52km WNW of Willow, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-20T01:46:41.078Z,60.513,-138.3807,2.5,1.8,ml,,,,0.92,ak,ak15107387,2017-01-20T01:52:44.449Z,"54km WSW of Haines Junction, Canada",earthquake,,0.4,,,automatic,ak,ak
2017-01-20T01:26:17.820Z,78.075,-105.058,10,4.4,mb,,47,4.052,0.94,us,us10007u8n,2017-01-20T02:51:13.040Z,"Sverdrup Islands, Nunavut, Canada",earthquake,5.6,1.7,0.056,91,reviewed,us,us
2017-01-20T01:16:04.390Z,3.3691,128.4187,79.24,4.4,mb,,185,2.785,0.69,us,us10007u8m,2017-01-20T02:45:27.040Z,"187km NNE of Tobelo, Indonesia",earthquake,12.9,12,0.12,20,reviewed,us,us
2017-01-20T00:46:01.980Z,38.8171654,-122.8188324,2.24,1.34,md,21,69,0.009247,0.03,nc,nc72754150,2017-01-20T01:08:04.750Z,"7km NW of The Geysers, California",earthquake,0.24,0.38,0.1,6,automatic,nc,nc
2017-01-20T00:13:33.680Z,49.383,-120.5438333,-0.51,2.08,ml,7,220,0.6036,0.41,uw,uw61229462,2017-01-20T02:20:43.940Z,"8km SSW of Princeton, Canada",explosion,2.66,31.61,0.105,6,reviewed,uw,uw
2017-01-20T00:07:30.347Z,65.0033,-147.3337,8.3,1.2,ml,,,,0.48,ak,ak15106154,2017-01-20T00:24:07.986Z,"24km NNE of Badger, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-19T23:58:55.310Z,33.2233333,-116.7281667,12.15,0.95,ml,24,78,0.02858,0.14,ci,ci37571455,2017-01-20T00:21:24.926Z,"4km ESE of Lake Henshaw, CA",earthquake,0.26,0.48,0.097,14,reviewed,ci,ci
2017-01-19T23:52:46.950Z,34.8958333,-119.0748333,18.73,1.36,ml,12,121,0.1013,0.12,ci,ci37571447,2017-01-20T00:14:36.476Z,"9km NE of Pine Mountain Club, CA",earthquake,0.38,0.72,0.253,7,reviewed,ci,ci
2017-01-19T23:48:07.555Z,63.2457,-152.1918,0,2.8,ml,,,,1.07,ak,ak15106140,2017-01-20T01:59:16.040Z,"147km NW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-19T23:32:49.250Z,37.4824982,-118.784668,4.22,2.14,md,29,126,0.113,0.04,nc,nc72754140,2017-01-19T23:51:42.453Z,"24km SE of Mammoth Lakes, California",earthquake,0.29,1.37,0.17,26,automatic,nc,nc
2017-01-19T23:04:20.310Z,-10.3859,161.3077,29.89,6.5,mww,,20,1.637,1.36,us,us10007u7n,2017-01-20T01:10:41.212Z,"67km W of Kirakira, Solomon Islands",earthquake,7.8,3.3,,,reviewed,us,us
2017-01-19T22:55:12.760Z,44.9966667,-122.6763333,-0.29,1.7,ml,14,89,0.1969,0.47,uw,uw61229452,2017-01-19T23:22:18.680Z,"8km E of Silverton, Oregon",explosion,0.81,31.61,0.098,8,reviewed,uw,uw
2017-01-19T22:54:55.960Z,-8.1694,119.7221,176.02,4.8,mb,,66,2.531,1.12,us,us10007u7m,2017-01-19T23:14:44.040Z,"39km NNW of Cempa, Indonesia",earthquake,6.3,5.9,0.074,56,reviewed,us,us
2017-01-19T22:49:05.100Z,33.5093333,-116.5476667,8.61,1.03,ml,28,73,0.04785,0.12,ci,ci37571423,2017-01-19T23:41:22.010Z,"13km ESE of Anza, CA",earthquake,0.19,0.34,0.103,22,reviewed,ci,ci
2017-01-19T22:41:12.427Z,63.0572,-150.961,120.6,1.8,ml,,,,0.37,ak,ak15105505,2017-01-19T22:53:13.902Z,"92km NNW of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-01-19T22:31:08.270Z,44.366,-115.7906667,5,1.84,ml,8,113,0.737,0.2,mb,mb80197284,2017-01-20T01:07:03.360Z,"26km SE of Cascade, Idaho",earthquake,0.61,31.61,0.122,6,reviewed,mb,mb
2017-01-19T22:06:45.200Z,32.6306667,-116.9625,-0.29,1.31,ml,15,207,0.0356,0.22,ci,ci37571415,2017-01-19T22:35:54.296Z,"7km ESE of Bonita, CA",quarry blast,0.93,31.61,0.2,11,reviewed,ci,ci
2017-01-19T21:56:15.624Z,61.6525,-150.7636,67.2,1.4,ml,,,,0.33,ak,ak15104903,2017-01-19T22:08:35.159Z,"39km WSW of Willow, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-01-19T21:54:44.380Z,45.524,-111.8526667,12.05,2.23,ml,23,63,0.173,0.36,mb,mb80197279,2017-01-19T22:16:29.020Z,"26km NNE of Virginia City, Montana",earthquake,0.55,1.03,0.462,9,reviewed,mb,mb
2017-01-19T21:52:59.740Z,38.8238335,-122.8498306,1.5,1.03,md,14,68,0.006633,0.02,nc,nc72754115,2017-01-19T22:17:02.844Z,"9km WNW of The Geysers, California",earthquake,0.24,0.54,0.13,3,automatic,nc,nc
2017-01-19T21:40:06.198Z,60.5331,-151.7547,78.5,2,ml,,,,0.53,ak,ak15104898,2017-01-19T21:52:38.248Z,"27km W of Kenai, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-19T21:37:18.900Z,47.4326667,-113.171,19.19,1.45,ml,20,179,0.291,0.14,mb,mb80197274,2017-01-19T21:53:22.950Z,"36km NE of Seeley Lake, Montana",earthquake,0.65,1.43,,0,reviewed,mb,mb
2017-01-19T21:30:05.550Z,36.7594,-98.0547,3.83,3.1,mb_lg,,35,0.132,0.23,us,us10007u6w,2017-01-19T21:44:16.040Z,"26km E of Cherokee, Oklahoma",earthquake,1.3,4.9,0.057,79,reviewed,us,us
2017-01-19T21:04:13.088Z,63.3819,-150.435,6.8,1.5,ml,,,,0.6,ak,ak15104803,2017-01-19T21:21:25.951Z,"74km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-01-19T20:59:02.584Z,63.7817,-149.2991,167,1.9,ml,,,,1.08,ak,ak15104802,2017-01-19T21:09:03.416Z,"18km WSW of Healy, Alaska",earthquake,,3.4,,,automatic,ak,ak
2017-01-19T20:52:17.060Z,45.5266667,-111.8978333,7.7,3.08,ml,53,65,0.201,0.25,mb,mb80197249,2017-01-20T00:27:35.040Z,"26km N of Virginia City, Montana",earthquake,0.29,0.69,0.377,22,reviewed,mb,mb
2017-01-19T20:50:45.428Z,62.6193,-151.3003,87.8,1.8,ml,,,,0.52,ak,ak15104799,2017-01-19T21:02:52.111Z,"69km WNW of Talkeetna, Alaska",earthquake,,1,,,automatic,ak,ak
2017-01-19T20:48:34.425Z,38.3764,-118.9147,7.5,1.6,ml,15,133.42,0.142,0.1648,nn,nn00574735,2017-01-19T23:26:37.447Z,"30km WSW of Hawthorne, Nevada",earthquake,,5,0.28,3,reviewed,nn,nn
2017-01-19T20:33:19.136Z,61.5166,-140.9537,0,2.4,ml,,,,0.63,ak,ak15104792,2017-01-19T20:44:28.762Z,"180km NNE of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-19T20:26:11.377Z,39.1454,-119.6174,8.3,1.9,ml,19,91.07,0.058,0.1869,nn,nn00574727,2017-01-19T23:07:46.778Z,"10km SSW of Dayton, Nevada",earthquake,,0.8,0.26,9,reviewed,nn,nn
2017-01-19T19:59:35.400Z,19.9029,121.2675,10,4.8,mb,,89,2.905,0.88,us,us10007u69,2017-01-20T00:23:26.040Z,"79km SW of Sabtang, Philippines",earthquake,7.9,1.9,0.056,98,reviewed,us,us
2017-01-19T19:49:13.119Z,61.1641,-140.0167,0,1.7,ml,,,,0.52,ak,ak15104191,2017-01-19T20:06:02.413Z,"143km WNW of Haines Junction, Canada",earthquake,,0.4,,,automatic,ak,ak
